영업담당자,거래처,매출일,품목명,출고량,단가,매출액
담당자없음,Z가람플랜트,08/20,Ar (일반),10,"12,000","120,000"
담당자없음,Z가람플랜트,08/20,"CO2 (공업용, 40kg)",3,"18,000","54,000"
담당자없음,Z가람플랜트,08/20,LPG (20kg),1,"40,000","40,000"
담당자없음,Z가람플랜트,08/20,"O2 (공업용, 40L)",3,"7,000","21,000"
담당자없음,Z가람플랜트,09/03,Ar (일반),4,"12,000","48,000"
담당자없음,Z가람플랜트,09/08,Ar (일반),4,"12,000","48,000"
담당자없음,Z가람플랜트,09/15,Ar (일반),2,"12,000","24,000"
담당자없음,Z가람플랜트,09/28,입금 (가스매출),0,0,0
담당자없음,Z가람플랜트,10/08,Ar (일반),4,"12,000","48,000"
담당자없음,Z가람플랜트,10/15,Ar (일반),7,"12,000","84,000"
담당자없음,Z가람플랜트,10/20,Ar (일반),4,"12,000","48,000"
담당자없음,Z가람플랜트,10/26,Ar (일반),5,"12,000","60,000"
담당자없음,Z가람플랜트,10/30,입금 (가스매출),0,0,0
담당자없음,Z가람플랜트,11/03,Ar (일반),6,"12,000","72,000"
담당자없음,Z가람플랜트,11/24,Ar (일반),5,"12,000","60,000"
담당자없음,Z가람플랜트,11/26,Ar (일반),6,"12,000","72,000"
담당자없음,Z가람플랜트,11/30,입금 (가스매출),0,0,0
담당자없음,Z가람플랜트,12/22,Ar (일반),7,"12,000","84,000"
담당자없음,Z가람플랜트,12/29,입금 (가스매출),0,0,0
담당자없음,Z가람플랜트,12/29,Ar (일반),4,"12,000","48,000"
담당자없음,Z가스켐(팔탄),03/31,"He (UHP, 47L, 99.999%)",0,0,0
담당자없음,Z가스켐(팔탄),04/24,"He (UHP, 47L, 99.999%)",30,"250,000","7,500,000"
담당자없음,Z가스켐(팔탄),05/18,"He (UHP, 47L, 99.999%)",40,"250,000","10,000,000"
담당자없음,Z가스켐(팔탄),05/22,입금 (가스매출),0,0,0
담당자없음,Z가스켐(팔탄),06/18,"He (UHP, 47L, 99.999%)",30,"250,000","7,500,000"
담당자없음,Z가스켐(팔탄),06/25,입금 (가스매출),0,0,0
담당자없음,Z가스켐(팔탄),07/24,"He (UHP, 47L, 99.999%)",8,"250,000","2,000,000"
담당자없음,Z가스켐(팔탄),07/24,"He (UHP, 47L, 99.999%)",1,0,0
담당자없음,Z가스켐(팔탄),07/29,입금 (가스매출),0,0,0
담당자없음,Z가스켐(팔탄),08/28,입금 (가스매출),0,0,0
담당자없음,Z가스켐(팔탄),09/08,"He (UHP, 47L, 99.999%)",11,"220,000","2,420,000"
담당자없음,Z가스켐(팔탄),10/15,입금 (가스매출),0,0,0
담당자없음,Z가스켐(팔탄),10/29,"He (UHP, 47L, 99.999%)",12,"220,000","2,640,000"
담당자없음,Z가스켐(팔탄),11/25,입금 (가스매출),0,0,0
담당자없음,Z가스켐(팔탄),12/09,"He (UHP, 47L, 99.999%)",10,"220,000","2,200,000"
담당자없음,Z가스켐(팔탄),12/30,입금 (가스매출),0,0,0
담당자없음,Z가스켐(팔탄),12/30,"He (UHP, 47L, 99.999%)",10,"220,000","2,200,000"
담당자없음,Z가스코아산(P&W eng),01/09,"N2 (LGC, 175L, 고압용)",3,"55,000","165,000"
담당자없음,Z가스코아산(P&W eng),01/29,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(P&W eng),01/30,"N2 (LGC, 175L, 고압용)",1,"55,000","55,000"
담당자없음,Z가스코아산(P&W eng),02/17,"N2 (공업용, 40L)",10,"8,000","80,000"
담당자없음,Z가스코아산(P&W eng),02/18,Ar (일반),5,"17,000","85,000"
담당자없음,Z가스코아산(P&W eng),02/19,"N2 (공업용, 40L)",0,"8,000",0
담당자없음,Z가스코아산(P&W eng),02/25,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(P&W eng),03/03,"N2 (LGC, 175L, 고압용)",0,"55,000",0
담당자없음,Z가스코아산(P&W eng),03/10,Ar (일반),0,"17,000",0
담당자없음,Z가스코아산(P&W eng),03/26,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(P&W eng),08/18,기화기 (20Nm3/Hr),1,0,0
담당자없음,Z가스코아산(P&W eng),08/18,Ar (일반),10,"17,850","178,500"
담당자없음,Z가스코아산(P&W eng),08/18,"N2 (LGC, 175L, 고압용)",1,"57,750","57,750"
담당자없음,Z가스코아산(P&W eng),08/31,기화기 (20Nm3/Hr),0,0,0
담당자없음,Z가스코아산(P&W eng),08/31,Ar (일반),0,"17,850",0
담당자없음,Z가스코아산(P&W eng),08/31,"N2 (LGC, 175L, 고압용)",0,"57,750",0
담당자없음,Z가스코아산(P&W eng),09/24,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(경성이테크),01/09,기화기 (40Nm3/Hr),0,0,0
담당자없음,Z가스코아산(경성이테크),01/09,"Ar (LGC, 175L)",0,"160,000",0
담당자없음,Z가스코아산(경성이테크),03/20,"Ar (UHP, 47L, 99.999%)",0,"25,000",0
담당자없음,Z가스코아산(경성이테크),04/01,"Ar (UHP, 47L, 99.999%)",0,"25,000",0
담당자없음,Z가스코아산(경성이테크),04/01,"Ar (UHP, 47L, 99.9999%)",0,0,0
담당자없음,Z가스코아산(경성이테크),04/01,"N2 (공업용, 40L)",0,"9,000",0
담당자없음,Z가스코아산(경성이테크),09/03,"Ar (UHP, 47L, 99.9999%)",3,"60,000","180,000"
담당자없음,Z가스코아산(경성이테크),10/27,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(나온)-에스앤지테크,06/01,"Ar (UHP, 47L, 99.999%)",15,0,0
담당자없음,Z가스코아산(나온)-에스앤지테크,06/01,"N2 (공업용, 40L)",1,0,0
담당자없음,Z가스코아산(나온)-에스앤지테크,06/11,"Ar (UHP, 47L, 99.999%)",8,"39,900","319,200"
담당자없음,Z가스코아산(나온)-에스앤지테크,07/23,"Ar (UHP, 47L, 99.999%)",8,"39,900","319,200"
담당자없음,Z가스코아산(나온)-에스앤지테크,07/31,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(나온)-에스앤지테크,08/26,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(나온)-에스앤지테크,10/15,"Ar (UHP, 47L, 99.999%)",6,"39,900","239,400"
담당자없음,Z가스코아산(나온)-에스앤지테크,10/15,"N2 (공업용, 40L)",0,"9,450",0
담당자없음,Z가스코아산(나온)-에스앤지테크,10/27,"Ar (UHP, 47L, 99.999%)",6,"39,900","239,400"
담당자없음,Z가스코아산(나온)-에스앤지테크,11/18,"Ar (UHP, 47L, 99.999%)",6,"39,900","239,400"
담당자없음,Z가스코아산(나온)-에스앤지테크,11/23,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(나온)-에스앤지테크,12/01,"Ar (UHP, 47L, 99.999%)",6,"39,900","239,400"
담당자없음,Z가스코아산(나온)-에스앤지테크,12/09,"Ar (UHP, 47L, 99.999%)",6,"39,900","239,400"
담당자없음,Z가스코아산(나온)-에스앤지테크,12/22,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(라누이엔지),01/03,Ar (일반),2,"16,000","32,000"
담당자없음,Z가스코아산(라누이엔지),01/03,"N2 (LGC, 175L, 고압용)",1,"47,000","47,000"
담당자없음,Z가스코아산(라누이엔지),01/06,"N2 (LGC, 175L, 고압용)",2,"47,000","94,000"
담당자없음,Z가스코아산(라누이엔지),01/09,"N2 (LGC, 175L, 고압용)",0,"47,000",0
담당자없음,Z가스코아산(라누이엔지),01/13,Ar (일반),0,"16,000",0
담당자없음,Z가스코아산(라누이엔지),01/17,Ar (일반),0,"16,000",0
담당자없음,Z가스코아산(라누이엔지),01/17,LPG (20kg),0,"34,000",0
담당자없음,Z가스코아산(라누이엔지),01/17,"N2 (LGC, 175L, 고압용)",1,"47,000","47,000"
담당자없음,Z가스코아산(라누이엔지),01/17,"O2 (공업용, 40L)",0,"4,800",0
담당자없음,Z가스코아산(라누이엔지),01/21,Ar (일반),0,"16,000",0
담당자없음,Z가스코아산(라누이엔지),01/21,LPG (20kg),0,"34,000",0
담당자없음,Z가스코아산(라누이엔지),01/21,"N2 (LGC, 175L, 고압용)",0,"47,000",0
담당자없음,Z가스코아산(라누이엔지),01/29,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(라누이엔지),02/25,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(라누이엔지),03/03,기화기 (20Nm3/Hr),0,0,0
담당자없음,Z가스코아산(라누이엔지),03/03,기화기 (40Nm3/Hr),0,0,0
담당자없음,Z가스코아산(승지플랜트),01/29,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(에스앤지테크) -대진테크,01/08,"Ar (UHP, 47L, 99.999%)",6,"38,000","228,000"
담당자없음,Z가스코아산(에스앤지테크) -대진테크,01/21,"Ar (UHP, 47L, 99.999%)",6,"38,000","228,000"
담당자없음,Z가스코아산(에스앤지테크) -대진테크,02/25,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(에스앤지테크) -대진테크,03/02,"Ar (UHP, 47L, 99.999%)",0,"38,000",0
담당자없음,Z가스코아산(에스앤지테크) -대진테크,06/01,"Ar (UHP, 47L, 99.999%)",0,0,0
담당자없음,Z가스코아산(에스앤지테크) -대진테크,06/01,"N2 (공업용, 40L)",0,0,0
담당자없음,Z가스코아산(진성이엔지),03/02,Ar (일반),6,"12,000","72,000"
담당자없음,Z가스코아산(진성이엔지),04/27,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍2),01/03,Ar (일반),13,"14,000","182,000"
담당자없음,Z가스코아산(파라텍2),01/07,Ar (일반),10,"14,000","140,000"
담당자없음,Z가스코아산(파라텍2),01/07,Ar (일반),7,"14,000","98,000"
담당자없음,Z가스코아산(파라텍2),01/08,Ar (일반),4,"14,000","56,000"
담당자없음,Z가스코아산(파라텍2),01/13,Ar (일반),11,"14,000","154,000"
담당자없음,Z가스코아산(파라텍2),01/14,Ar (일반),11,"14,000","154,000"
담당자없음,Z가스코아산(파라텍2),01/14,Ar (일반),5,"14,000","70,000"
담당자없음,Z가스코아산(파라텍2),01/15,"Ar (일반, 10.2L)",4,"5,000","20,000"
담당자없음,Z가스코아산(파라텍2),01/16,"Ar (일반, 10.2L)",4,"5,000","20,000"
담당자없음,Z가스코아산(파라텍2),01/22,Ar (일반),12,"14,000","168,000"
담당자없음,Z가스코아산(파라텍2),01/22,"Ar (일반, 10.2L)",0,"5,000",0
담당자없음,Z가스코아산(파라텍2),01/29,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍2),01/31,Ar (일반),5,"14,000","70,000"
담당자없음,Z가스코아산(파라텍2),01/31,"Ar (일반, 10.2L)",0,"5,000",0
담당자없음,Z가스코아산(파라텍2),02/04,"Ar (일반, 10.2L)",3,"5,000","15,000"
담당자없음,Z가스코아산(파라텍2),02/04,"Ar (일반, 10.2L)",0,"5,000",0
담당자없음,Z가스코아산(파라텍2),02/07,Ar (일반),0,"14,000",0
담당자없음,Z가스코아산(파라텍2),02/07,"Ar (일반, 10.2L)",4,"5,000","20,000"
담당자없음,Z가스코아산(파라텍2),02/13,Ar (일반),10,"14,000","140,000"
담당자없음,Z가스코아산(파라텍2),02/13,Ar (일반),10,"14,000","140,000"
담당자없음,Z가스코아산(파라텍2),02/20,Ar (일반),0,"14,000",0
담당자없음,Z가스코아산(파라텍2),02/20,"Ar (일반, 10.2L)",0,"5,000",0
담당자없음,Z가스코아산(파라텍2),02/25,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍2),03/23,Ar (일반),5,"14,000","70,000"
담당자없음,Z가스코아산(파라텍2),03/25,Ar (일반),0,"14,000",0
담당자없음,Z가스코아산(파라텍2),03/26,기화기 (20Nm3/Hr),0,0,0
담당자없음,Z가스코아산(파라텍2),03/26,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍2),03/26,Ar (일반),0,"14,000",0
담당자없음,Z가스코아산(파라텍2),03/26,"Ar (LGC, 175L)",0,"138,000",0
담당자없음,Z가스코아산(파라텍2),04/21,Ar (일반),0,"14,000",0
담당자없음,Z가스코아산(파라텍2),04/27,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍2),04/28,Ar (일반),4,"14,000","56,000"
담당자없음,Z가스코아산(파라텍2),04/28,LPG (20kg),0,"32,000",0
담당자없음,Z가스코아산(파라텍2),04/28,"O2 (공업용, 40L)",0,"4,600",0
담당자없음,Z가스코아산(파라텍2),05/08,LPG (20kg),1,"33,600","33,600"
담당자없음,Z가스코아산(파라텍2),05/08,"O2 (공업용, 40L)",1,"4,830","4,830"
담당자없음,Z가스코아산(파라텍2),05/25,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍2),06/04,Ar (일반),0,"14,700",0
담당자없음,Z가스코아산(파라텍2),06/04,Ar (일반),0,"14,700",0
담당자없음,Z가스코아산(파라텍2),06/04,LPG (20kg),0,"33,600",0
담당자없음,Z가스코아산(파라텍2),06/04,"O2 (공업용, 40L)",0,"4,830",0
담당자없음,Z가스코아산(파라텍2),06/25,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍2),07/03,Ar (일반),0,"14,700",0
담당자없음,Z가스코아산(파라텍2),08/04,Ar (일반),0,"14,700",0
담당자없음,Z가스코아산(파라텍2),08/07,Ar (일반),0,"14,700",0
담당자없음,Z가스코아산(파라텍2),08/21,"O2 (공업용, 40L)",0,"4,830",0
담당자없음,Z가스코아산(파라텍3),01/29,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍3),03/18,Ar (일반),1,"14,000","14,000"
담당자없음,Z가스코아산(파라텍3),03/18,"Ar (LGC, 175L)",1,"138,000","138,000"
담당자없음,Z가스코아산(파라텍3),03/18,"N2 (LGC, 175L, 고압용)",2,"48,000","96,000"
담당자없음,Z가스코아산(파라텍3),03/18,"O2 (공업용, 40L)",2,"4,600","9,200"
담당자없음,Z가스코아산(파라텍3),04/03,"Ar (LGC, 175L)",2,"138,000","276,000"
담당자없음,Z가스코아산(파라텍3),04/14,"Ar (LGC, 175L)",0,"138,000",0
담당자없음,Z가스코아산(파라텍3),04/14,"N2 (LGC, 175L)",1,"48,000","48,000"
담당자없음,Z가스코아산(파라텍3),04/14,"N2 (LGC, 175L, 고압용)",1,"48,000","48,000"
담당자없음,Z가스코아산(파라텍3),04/21,"Ar (LGC, 175L)",1,"138,000","138,000"
담당자없음,Z가스코아산(파라텍3),04/21,"N2 (LGC, 175L, 고압용)",2,"48,000","96,000"
담당자없음,Z가스코아산(파라텍3),04/27,입금 (가스매출),0,0,0
담당자없음,Z가스코아산(파라텍3),04/28,"Ar (LGC, 175L)",2,"138,000","276,000"
담당자없음,Z가스코아산(파라텍3),04/28,"N2 (LGC, 175L)",0,"48,000",0
